Timestamp	What is your attitude towards online learning?	Online learning has proven to be effective towards my academic performance.	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Online learning]"	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Face to Face Learning]"	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Hybrid Learning]"	I have access to stable internet connection while accessing online learning.	I have access to suitable devices to meet the requirements for online learning	I am able to stay focused and concentrated throughout all my online courses.	"I feel supported by my course coordinators, lecturers and tutors through online platforms."	The courses I am undertaking have provided me resources to help me learn online	What is your current level of study at UNSW?	What is your current year at UNSW?	Faculty of your degree:	How long is your commute to UNSW?	What is your current living situation? 	What is your current employment status?
8/4/21 22:05	3	3	1	2	3	5	4	1	3	5	Undergraduate	Second Year	"Arts, Design & Architecture"	Within 30 minutes	Living alone	Casual
8/4/21 22:08	2	3	3	1	2	2	1	2	1	3	Undergraduate	Fourth Year	Engineering	Within 30 minutes	Living with family and friends	Casual
8/4/21 22:16	3	1	3	1	1	4	5	3	2	3	Undergraduate	Second Year	"Arts, Design & Architecture"	Within 30 minutes	Living with family and friends	Unemployed
8/4/21 22:16	4	1	1	3	2	3	4	1	3	4	Undergraduate	Second Year	Medicine	Within 1 hour	Living with family and friends	Casual
8/4/21 22:20	1	1	3	1	2	3	4	1	1	2	Undergraduate	First Year	"Arts, Design & Architecture"	Within 30 minutes	Living with family and friends	Casual
8/4/21 22:22	4	4	2	2	3	5	4	2	2	3	Undergraduate	Third Year	Engineering	Within 30 minutes	Campus accommodation	Unemployed
8/4/21 22:41	5	3	2	2	3	4	5	1	3	4	Undergraduate	First Year	Business School	Within 30 minutes	Living with family and friends	Casual
8/4/21 22:44	1	2	3	1	2	5	5	1	2	4	Undergraduate	Third Year	Science	Within 30 minutes	Living alone	Part-time
8/4/21 23:02	6	4	3	2	1	5	5	2	4	4	Undergraduate	First Year	Business School	Within 30 minutes	Living with family and friends	Casual
8/4/21 23:23	5	2	2	2	1	1	2	2	3	3	Undergraduate	Second Year	Business School	Within 2 hours	Living with family and friends	Unemployed
8/5/21 8:12	4	4	1	2	3	5	5	3	3	4	Undergraduate	Fourth Year	Business School	Within 1 hour	Living with family and friends	Unemployed
8/5/21 8:52	4	2	3	1	2	4	5	3	4	4	Undergraduate	First Year	Business School	"On campus, but returned to SA due to covid."	Living with family and friends	Unemployed
8/5/21 9:37	2	3	3	1	2	4	5	1	3	3	Undergraduate	Fourth Year	Engineering	Within 2 hours	Living with family and friends	Casual
8/5/21 10:02	7	5	1	3	3	5	5	1	1	1	Undergraduate	Second Year	Business School	Within 1 hour	Living with family and friends	Casual
8/5/21 10:14	4	4	1	2	3	5	5	2	2	2	Undergraduate	First Year	Engineering	Within 2 hours	Living with family and friends	Part-time
8/5/21 10:23	4	1	1	3	3	4	4	1	2	2	Undergraduate	Second Year	Engineering	Within 2 hours	Living alone	Casual
8/5/21 10:32	3	2	3	2	1	5	5	2	3	3	Undergraduate	Second Year	Engineering	On campus	College	Unemployed
8/5/21 12:37	2	2	3	1	2	5	5	1	3	3	Undergraduate	Second Year	Science	Within 1 hour	Living with family and friends	Casual
8/5/21 12:50	6	4	2	2	2	5	4	4	4	4	Undergraduate	Third Year	"Arts, Design & Architecture"	Within 2 hours	Living with family and friends	Casual
8/5/21 14:25	6	4	3	2	1	5	4	2	3	3	Undergraduate	Third Year	"Arts, Design & Architecture"	Within 1 hour	Living with family and friends	Unemployed
8/5/21 14:33	5	4	1	2	3	4	5	2	3	4	Undergraduate	Second Year	Business School	Within 1 hour	Living with family and friends	Casual
8/5/21 14:34	3	3	1	3	2	4	5	3	4	4	Undergraduate	Fourth Year	Medicine	Within 30 minutes	Living with family and friends	Casual
8/5/21 14:44	4	4	2	2	3	4	5	2	4	4	Undergraduate	Third Year	Engineering	Within 2 hours	Living with family and friends	Full-time
8/5/21 14:53	5	2	2	3	1	4	5	2	2	3	Undergraduate	Third Year	"Arts, Design & Architecture"	More than 2 hours	Living with family and friends	Casual
8/5/21 15:00	5	2	1	2	3	3	5	2	3	5	Undergraduate	Third Year	Business School	Within 1 hour	Living with family and friends	Full-time
8/5/21 15:12	5	4	3	1	2	4	4	2	3	3	Undergraduate	Third Year	Law	Within 2 hours	Living with family and friends	Casual
8/5/21 15:15	4	4	3	2	1	2	2	1	2	2	Undergraduate	Second Year	Business School	Within 2 hours	Living with family and friends	Part-time
8/5/21 15:42	2	2	1	2	3	3	3	1	1	2	Undergraduate	Second Year	Business School	Within 2 hours	Living with family and friends	Part-time
8/5/21 15:53	2	3	2	1	2	5	5	2	5	5	Undergraduate	Fourth Year	Engineering	Within 2 hours	Living with family and friends	Part-time
8/5/21 16:24	3	3	3	2	1	4	5	3	3	3	Undergraduate	Fourth Year	Business School	Within 2 hours	Living with family and friends	Casual
8/5/21 16:28	3	3	3	1	2	3	5	2	2	3	Undergraduate	Third Year	Science	Within 2 hours	Living with family and friends	Part-time
8/5/21 16:31	6	4	1	3	2	4	4	4	4	4	Undergraduate	Third Year	Business School	Within 1 hour	Living with family and friends	Casual
8/5/21 16:37	7	4	2	2	3	3	4	1	3	4	Undergraduate	Third Year	Business School	Within 2 hours	Living with family and friends	Casual
8/5/21 16:37	3	2	1	2	3	4	4	2	3	4	Undergraduate	Second Year	Science	Within 1 hour	Living alone	Unemployed
8/5/21 17:08	5	4	3	1	2	4	4	3	3	3	Undergraduate	Second Year	Business School	Within 2 hours	Living with family and friends	Unemployed
8/5/21 17:09	6	4	1	3	2	5	5	3	3	4	Undergraduate	First Year	Engineering	Within 2 hours	Living with family and friends	Casual
8/5/21 18:37	5	3	3	1	2	4	3	2	5	4	Undergraduate	Third Year	Engineering	Within 1 hour	Living with family and friends	Unemployed
8/5/21 18:41	2	1	3	1	2	2	5	1	3	3	Undergraduate	Fourth Year	Science	Within 30 minutes	Living with family and friends	Casual
8/5/21 18:53	4	2	1	2	3	4	3	3	3	4	Undergraduate	Fourth Year	"Arts, Design & Architecture"	Within 1 hour	Living with family and friends	Full-time
8/5/21 19:35	5	3	2	1	2	5	5	3	4	4	Undergraduate	Fifth Year	Science	Within 1 hour	Living with family and friends	Full-time
