time	year	month	date	day	births	weekend	weorhol
146	2004	May	25	Tues	768	0	0
147	2004	May	26	Wed	727	0	0
148	2004	May	27	Thurs	695	0	0
149	2004	May	28	Fri	720	0	0
150	2004	May	29	Sat	455	1	1
151	2004	May	30	Sun	453	1	1
152	2004	May	31	Mon	666	0	0
153	2004	June	1	Tues	741	0	0
154	2004	June	2	Wed	706	0	0
155	2004	June	3	Thurs	736	0	0
156	2004	June	4	Fri	707	0	0
157	2004	June	5	Sat	439	1	1
158	2004	June	6	Sun	443	1	1
159	2004	June	7	Mon	680	0	0
160	2004	June	8	Tues	710	0	0
161	2004	June	9	Wed	710	0	0
162	2004	June	10	Thurs	718	0	0
163	2004	June	11	Fri	694	0	0
164	2004	June	12	Sat	513	1	1
165	2004	June	13	Sun	398	1	1
166	2004	June	14	Mon	496	0	0
167	2004	June	15	Tues	741	0	0
168	2004	June	16	Wed	725	0	0
169	2004	June	17	Thurs	736	0	0
170	2004	June	18	Fri	728	0	0
171	2004	June	19	Sat	495	1	1
172	2004	June	20	Sun	435	1	1
173	2004	June	21	Mon	654	0	0
174	2004	June	22	Tues	693	0	0
175	2004	June	23	Wed	689	0	0
176	2004	June	24	Thurs	649	0	0
177	2004	June	25	Fri	667	0	0
178	2004	June	26	Sat	480	1	1
179	2004	June	27	Sun	434	1	1
180	2004	June	28	Mon	576	0	0
181	2004	June	29	Tues	575	0	0
182	2004	June	30	Wed	490	0	0
183	2004	July	1	Thurs	978	0	0
184	2004	July	2	Fri	907	0	0
185	2004	July	3	Sat	543	1	1
186	2004	July	4	Sun	472	1	1
187	2004	July	5	Mon	789	0	0
188	2004	July	6	Tues	810	0	0
189	2004	July	7	Wed	733	0	0
190	2004	July	8	Thurs	782	0	0
191	2004	July	9	Fri	794	0	0
192	2004	July	10	Sat	493	1	1
193	2004	July	11	Sun	458	1	1
194	2004	July	12	Mon	755	0	0
195	2004	July	13	Tues	674	0	0
196	2004	July	14	Wed	741	0	0
197	2004	July	15	Thurs	789	0	0
198	2004	July	16	Fri	716	0	0
199	2004	July	17	Sat	469	1	1
200	2004	July	18	Sun	458	1	1
201	2004	July	19	Mon	706	0	0
202	2004	July	20	Tues	773	0	0
203	2004	July	21	Wed	679	0	0
204	2004	July	22	Thurs	733	0	0
205	2004	July	23	Fri	726	0	0
206	2004	July	24	Sat	495	1	1
207	2004	July	25	Sun	457	1	1
208	2004	July	26	Mon	721	0	0
209	2004	July	27	Tues	722	0	0
210	2004	July	28	Wed	711	0	0
211	2004	July	29	Thurs	735	0	0
212	2004	July	30	Fri	700	0	0
213	2004	July	31	Sat	497	1	1
214	2004	August	1	Sun	445	1	1
215	2004	August	2	Mon	708	0	0
216	2004	August	3	Tues	707	0	0
217	2004	August	4	Wed	734	0	0
218	2004	August	5	Thurs	773	0	0
219	2004	August	6	Fri	720	0	0
220	2004	August	7	Sat	502	1	1
221	2004	August	8	Sun	464	1	1
222	2004	August	9	Mon	729	0	0
223	2004	August	10	Tues	669	0	0
224	2004	August	11	Wed	746	0	0
225	2004	August	12	Thurs	791	0	0
226	2004	August	13	Fri	685	0	0
227	2004	August	14	Sat	476	1	1
228	2004	August	15	Sun	417	1	1
229	2004	August	16	Mon	697	0	0
230	2004	August	17	Tues	733	0	0
231	2004	August	18	Wed	751	0	0
232	2004	August	19	Thurs	694	0	0
233	2004	August	20	Fri	697	0	0
234	2004	August	21	Sat	443	1	1
235	2004	August	22	Sun	427	1	1
236	2004	August	23	Mon	638	0	0
237	2004	August	24	Tues	718	0	0
238	2004	August	25	Wed	733	0	0
239	2004	August	26	Thurs	725	0	0
240	2004	August	27	Fri	722	0	0
241	2004	August	28	Sat	444	1	1
242	2004	August	29	Sun	470	1	1
243	2004	August	30	Mon	659	0	0
244	2004	August	31	Tues	698	0	0
